Operating System Marks,Algorithms Marks,Software Engineering Marks,Computer Networks Marks,Electronics Marks,Computer Architecture Marks,Mathematics Marks,Coding Skill Rating,Communication Skill Rating,Public Speaking Skill,Memory Capacity,Logical Reasoning Score,Reading and Writing Skill,Number of Hackathons Attended,Certifications,Number of Internships Attended,Worked As a Team,Personality,Expected Hours of Work Per Day,Willingness to Work for Long Period,Preference: Job vs. Higher Studies,Type of Company Preferred,Interested Career Area,Self-Learning Ability,Interest Type,Predicted Career Options
78,53,45,89,70,97,89,10,6,4,Excellent,7,Poor,7,Python,0,Yes,Introvert,9,No,Job,Service-based,UX Designer,No,Management,Network Administrator
79,68,66,95,77,77,41,5,2,3,Medium,4,Average,0,AI/ML,4,No,Extrovert,8,No,Higher Studies,Product-based,Analyst,No,Technical,Software Engineer
95,51,71,82,97,76,43,4,6,7,Medium,7,Poor,2,Data Science,0,No,Extrovert,6,Yes,Job,Service-based,Research,Yes,Management,System Developer
59,89,43,49,82,47,47,2,10,5,Medium,1,Poor,3,Python,4,No,Introvert,6,No,Job,Service-based,Administrator,Yes,Management,Technical Developer
99,99,41,82,100,84,88,8,9,1,Poor,2,Poor,9,AI/ML,4,No,Introvert,10,Yes,Job,Service-based,Developer,Yes,Technical,IT Admin
67,83,68,91,55,71,75,3,6,2,Poor,2,Poor,0,None,2,Yes,Introvert,4,No,Higher Studies,Product-based,Research,Yes,Management,Business Analyst
92,73,81,90,89,66,73,4,2,1,Poor,8,Average,4,None,3,No,Introvert,6,No,Higher Studies,Product-based,Developer,Yes,Technical,System Developer
53,42,65,61,48,60,69,3,8,7,Poor,6,Medium,4,Data Science,0,No,Extrovert,4,No,Higher Studies,Product-based,Research,No,Management,Technical Developer
60,56,44,90,63,56,68,10,10,1,Excellent,3,Average,4,None,3,Yes,Extrovert,11,Yes,Job,Product-based,Developer,No,Technical,Network Administrator
54,77,44,85,48,53,59,2,1,4,Medium,3,Average,10,None,0,Yes,Extrovert,6,Yes,Job,Service-based,Developer,Yes,Technical,Technical Developer
90,52,65,75,64,61,75,8,2,4,Poor,6,Medium,10,Networking,4,No,Extrovert,9,Yes,Higher Studies,Product-based,Analyst,Yes,Management,System Developer
41,55,52,69,88,82,92,6,10,9,Medium,10,Excellent,6,Networking,3,Yes,Extrovert,8,Yes,Job,Product-based,UX Designer,Yes,Technical,Business Analyst
56,68,72,88,73,80,74,9,3,8,Poor,10,Poor,0,Java,3,No,Introvert,9,No,Higher Studies,Service-based,UX Designer,No,Management,Software Engineer
83,52,78,47,43,94,93,4,10,10,Medium,5,Excellent,7,Python,0,Yes,Introvert,6,No,Higher Studies,Service-based,Research,Yes,Management,Software Engineer
72,95,51,46,60,51,61,3,8,10,Excellent,4,Poor,3,AI/ML,4,No,Introvert,11,Yes,Higher Studies,Service-based,Research,No,Technical,CRM Specialist
75,69,58,45,98,60,44,10,7,8,Poor,2,Excellent,0,Data Science,3,Yes,Extrovert,10,No,Job,Service-based,UX Designer,No,Technical,Network Administrator
60,95,46,83,84,45,84,1,3,3,Poor,4,Poor,6,Python,5,No,Introvert,11,Yes,Higher Studies,Service-based,Analyst,Yes,Technical,CRM Specialist
81,83,80,40,84,56,48,2,6,10,Medium,4,Excellent,6,Networking,2,No,Introvert,9,No,Job,Service-based,Administrator,Yes,Management,UX Designer
97,53,86,87,59,65,59,2,1,6,Medium,6,Excellent,4,None,0,No,Extrovert,9,No,Job,Product-based,Analyst,No,Technical,UX Designer
65,52,72,60,49,61,64,5,7,5,Medium,2,Poor,0,Python,3,Yes,Introvert,5,No,Job,Service-based,Analyst,No,Technical,UX Designer
86,98,55,80,44,48,90,1,5,8,Poor,5,Poor,3,Networking,4,Yes,Extrovert,9,No,Higher Studies,Product-based,Analyst,Yes,Technical,UX Designer
95,92,81,51,69,74,61,10,8,10,Excellent,4,Average,3,Data Science,3,No,Introvert,6,No,Higher Studies,Product-based,Administrator,Yes,Management,Business Analyst
98,78,86,60,78,54,65,8,10,10,Medium,7,Average,7,AI/ML,2,Yes,Introvert,8,No,Job,Service-based,Developer,No,Management,Software Engineer
97,62,75,69,53,50,43,8,9,1,Poor,3,Average,1,Python,4,Yes,Introvert,9,Yes,Job,Service-based,Developer,No,Management,Technical Developer
65,90,82,89,58,95,69,8,2,2,Excellent,5,Excellent,7,Python,5,No,Introvert,12,No,Higher Studies,Product-based,Research,Yes,Technical,IT Admin
85,67,44,86,95,70,45,5,5,10,Poor,5,Average,6,Python,1,No,Extrovert,12,No,Job,Service-based,Administrator,No,Technical,Software Engineer
41,98,96,98,60,68,75,6,1,4,Medium,6,Medium,10,Data Science,1,No,Extrovert,11,Yes,Higher Studies,Product-based,UX Designer,Yes,Technical,Software Engineer
79,96,45,88,45,78,98,8,5,3,Poor,2,Excellent,9,Java,4,No,Introvert,7,No,Higher Studies,Product-based,UX Designer,Yes,Management,Software Engineer
82,91,87,79,77,84,62,7,1,8,Excellent,5,Medium,4,Java,4,Yes,Extrovert,11,No,Higher Studies,Product-based,UX Designer,Yes,Technical,Software Engineer
93,78,47,92,92,93,80,8,10,9,Medium,10,Excellent,2,None,5,No,Extrovert,11,Yes,Job,Service-based,Developer,Yes,Management,Business Analyst
70,66,56,99,75,95,97,4,2,9,Excellent,4,Poor,0,Java,2,No,Introvert,8,No,Job,Service-based,UX Designer,Yes,Management,Software Engineer
76,42,68,61,48,72,93,6,1,7,Excellent,6,Average,6,Java,3,Yes,Extrovert,6,Yes,Higher Studies,Service-based,Analyst,No,Technical,UX Designer
77,87,73,98,67,94,93,4,5,7,Excellent,8,Average,9,Data Science,5,Yes,Extrovert,5,No,Higher Studies,Product-based,UX Designer,No,Management,System Developer
62,60,85,100,58,49,82,8,8,7,Excellent,4,Excellent,1,Python,2,Yes,Extrovert,8,No,Higher Studies,Service-based,UX Designer,No,Technical,IT Admin
81,79,71,74,72,45,53,10,1,2,Excellent,9,Excellent,6,AI/ML,0,Yes,Introvert,11,No,Higher Studies,Product-based,Research,No,Technical,CRM Specialist
85,91,83,93,96,46,89,5,3,9,Poor,3,Average,2,Python,5,No,Extrovert,7,No,Job,Product-based,UX Designer,No,Technical,Network Administrator
78,51,86,100,94,55,59,2,5,1,Medium,7,Poor,0,None,1,Yes,Extrovert,8,Yes,Job,Product-based,Administrator,No,Technical,Technical Developer
78,98,71,77,99,82,43,10,10,4,Poor,10,Poor,7,None,4,Yes,Introvert,10,Yes,Job,Product-based,Developer,No,Management,Software Engineer
99,70,45,41,87,71,91,10,5,4,Medium,9,Poor,8,Java,0,No,Introvert,12,Yes,Higher Studies,Service-based,Research,Yes,Technical,Business Analyst
96,50,41,93,40,81,73,7,7,10,Poor,3,Average,5,AI/ML,5,No,Introvert,4,Yes,Job,Product-based,UX Designer,No,Technical,UX Designer
96,68,95,48,97,87,96,5,2,10,Poor,8,Average,3,None,3,Yes,Extrovert,6,Yes,Higher Studies,Service-based,Administrator,No,Technical,IT Admin
69,71,69,46,68,49,98,7,2,6,Excellent,5,Average,10,None,0,No,Introvert,12,Yes,Higher Studies,Service-based,UX Designer,No,Technical,Technical Developer
56,56,75,89,58,64,41,8,2,4,Excellent,1,Medium,1,AI/ML,3,No,Extrovert,8,No,Job,Product-based,UX Designer,Yes,Technical,System Developer
81,78,74,69,77,68,84,5,5,3,Medium,8,Medium,3,Java,2,Yes,Extrovert,4,No,Job,Service-based,Administrator,Yes,Management,UX Designer
75,72,82,83,95,57,69,8,6,8,Medium,1,Medium,1,Networking,4,No,Introvert,8,No,Job,Product-based,Administrator,No,Management,CRM Specialist
77,88,91,86,46,49,92,9,5,2,Medium,7,Average,5,Data Science,5,Yes,Introvert,8,Yes,Higher Studies,Service-based,Developer,Yes,Management,CRM Specialist
64,54,47,81,99,100,94,3,2,9,Excellent,2,Excellent,9,Data Science,5,Yes,Extrovert,4,No,Job,Service-based,Research,Yes,Technical,Network Administrator
94,95,46,81,41,85,100,10,2,4,Poor,7,Poor,6,Data Science,1,Yes,Introvert,7,Yes,Job,Service-based,Research,Yes,Management,UX Designer
76,66,65,53,68,96,53,10,4,2,Excellent,9,Poor,4,Networking,5,No,Extrovert,7,Yes,Higher Studies,Product-based,Analyst,No,Management,UX Designer
40,71,93,76,92,70,78,2,10,3,Medium,7,Excellent,1,Networking,0,Yes,Extrovert,7,Yes,Higher Studies,Product-based,UX Designer,Yes,Technical,System Developer
97,84,88,91,53,89,46,1,3,5,Medium,5,Poor,7,Java,2,No,Introvert,8,Yes,Higher Studies,Product-based,Administrator,No,Management,IT Admin
54,49,54,53,54,74,59,3,4,9,Excellent,7,Excellent,8,AI/ML,5,No,Extrovert,10,No,Job,Service-based,UX Designer,Yes,Technical,Software Engineer
66,76,80,55,58,45,78,4,2,10,Medium,10,Average,0,Networking,5,Yes,Extrovert,5,No,Job,Product-based,UX Designer,No,Technical,IT Admin
87,91,57,68,61,68,99,9,3,10,Excellent,9,Poor,5,Python,0,Yes,Introvert,7,No,Higher Studies,Service-based,Administrator,Yes,Technical,UX Designer
78,47,71,83,45,96,89,10,1,9,Poor,6,Medium,3,Data Science,2,No,Extrovert,12,Yes,Higher Studies,Product-based,UX Designer,Yes,Technical,CRM Specialist
64,62,59,87,40,68,40,9,10,9,Medium,1,Excellent,4,Java,2,Yes,Extrovert,12,Yes,Higher Studies,Product-based,Developer,Yes,Management,Technical Developer
50,58,72,99,100,48,77,10,3,4,Poor,7,Poor,9,Python,2,No,Extrovert,12,Yes,Higher Studies,Product-based,Analyst,Yes,Technical,Technical Developer
41,52,92,100,97,40,52,7,6,7,Medium,2,Poor,5,Networking,5,No,Introvert,8,No,Higher Studies,Service-based,Research,Yes,Management,IT Admin
89,58,75,63,45,64,87,4,9,5,Medium,6,Poor,3,Python,4,No,Introvert,10,No,Job,Product-based,UX Designer,Yes,Technical,System Developer
41,68,75,100,85,94,86,8,6,2,Excellent,10,Poor,2,None,1,No,Introvert,6,Yes,Higher Studies,Service-based,Administrator,Yes,Management,UX Designer
62,72,50,97,77,79,80,1,6,6,Medium,7,Poor,2,AI/ML,5,Yes,Introvert,8,No,Job,Product-based,UX Designer,No,Management,CRM Specialist
88,55,69,52,55,50,88,8,5,2,Poor,5,Medium,3,AI/ML,4,Yes,Extrovert,7,Yes,Higher Studies,Product-based,Administrator,Yes,Technical,CRM Specialist
50,78,54,93,81,80,83,5,9,6,Medium,10,Excellent,2,Networking,2,Yes,Extrovert,10,Yes,Higher Studies,Product-based,Research,Yes,Management,Technical Developer
95,41,52,79,63,54,94,3,5,7,Medium,2,Excellent,6,Data Science,3,No,Introvert,8,No,Higher Studies,Product-based,Analyst,No,Technical,Business Analyst
53,71,62,47,44,99,85,9,1,10,Excellent,7,Excellent,2,Networking,1,No,Extrovert,11,No,Higher Studies,Service-based,Developer,Yes,Management,CRM Specialist
53,99,63,40,75,92,44,8,4,10,Excellent,1,Medium,1,AI/ML,0,Yes,Extrovert,6,Yes,Higher Studies,Service-based,Research,Yes,Management,CRM Specialist
50,68,74,80,60,98,93,4,6,7,Poor,6,Excellent,0,Python,5,Yes,Extrovert,9,No,Job,Product-based,Analyst,No,Technical,IT Admin
87,78,41,100,59,72,58,1,7,10,Excellent,8,Medium,7,Java,5,No,Extrovert,4,No,Higher Studies,Product-based,Developer,Yes,Technical,System Developer
77,55,43,84,68,56,95,5,1,1,Excellent,3,Average,1,Data Science,4,Yes,Extrovert,11,No,Higher Studies,Service-based,UX Designer,Yes,Technical,CRM Specialist
91,59,82,56,50,49,73,1,9,3,Medium,2,Average,4,Data Science,2,Yes,Extrovert,11,Yes,Job,Service-based,Administrator,Yes,Management,Network Administrator
92,63,58,46,75,55,67,2,8,10,Medium,4,Average,5,Networking,0,No,Extrovert,5,Yes,Higher Studies,Service-based,Administrator,No,Management,IT Admin
47,48,77,82,45,65,52,10,7,9,Excellent,2,Poor,1,Networking,2,No,Introvert,12,Yes,Job,Product-based,Administrator,Yes,Management,Technical Developer
94,98,57,40,95,74,68,8,9,10,Excellent,8,Poor,2,Java,3,Yes,Extrovert,7,Yes,Higher Studies,Service-based,Analyst,No,Technical,CRM Specialist
41,87,63,55,64,94,40,5,9,10,Poor,10,Excellent,10,Python,4,No,Introvert,8,No,Higher Studies,Product-based,Developer,Yes,Technical,Business Analyst
55,73,48,55,53,49,81,2,5,7,Excellent,1,Poor,5,Data Science,0,Yes,Extrovert,8,Yes,Job,Product-based,UX Designer,Yes,Management,CRM Specialist
65,80,84,82,70,100,86,9,10,1,Excellent,10,Poor,2,Data Science,0,No,Introvert,10,Yes,Job,Service-based,Administrator,No,Technical,IT Admin
98,87,80,77,70,63,44,7,9,2,Medium,7,Medium,8,Data Science,4,Yes,Introvert,11,No,Job,Product-based,UX Designer,No,Management,System Developer
99,83,40,68,55,67,66,1,8,1,Excellent,2,Average,6,Python,0,Yes,Introvert,7,No,Higher Studies,Service-based,Administrator,Yes,Management,UX Designer
57,56,56,85,80,94,45,7,1,8,Medium,8,Poor,9,Java,4,No,Extrovert,9,Yes,Higher Studies,Service-based,Research,Yes,Technical,CRM Specialist
96,42,63,93,63,69,77,9,7,8,Medium,5,Excellent,4,Networking,3,No,Extrovert,10,No,Job,Service-based,Developer,No,Technical,IT Admin
59,52,43,62,80,78,60,10,6,4,Poor,8,Excellent,7,Python,0,No,Introvert,11,Yes,Higher Studies,Product-based,Analyst,Yes,Technical,Network Administrator
63,66,40,92,53,93,56,8,4,4,Medium,2,Poor,9,AI/ML,1,No,Introvert,10,No,Job,Service-based,Administrator,No,Management,UX Designer
59,72,98,91,54,79,81,7,2,3,Excellent,1,Excellent,6,Networking,5,No,Extrovert,12,Yes,Job,Product-based,Developer,Yes,Management,CRM Specialist
70,50,62,42,75,69,50,7,9,6,Excellent,9,Poor,0,Python,1,No,Extrovert,7,No,Higher Studies,Product-based,UX Designer,No,Management,UX Designer
51,67,78,52,66,44,47,5,9,10,Medium,2,Excellent,2,Networking,4,No,Extrovert,9,No,Higher Studies,Service-based,UX Designer,Yes,Technical,Network Administrator
72,48,93,64,55,45,54,3,4,3,Poor,5,Average,7,AI/ML,2,No,Extrovert,7,Yes,Job,Product-based,Developer,Yes,Management,Business Analyst
47,85,59,88,51,79,48,5,1,5,Excellent,5,Excellent,3,Python,2,No,Extrovert,8,No,Job,Service-based,Administrator,Yes,Management,Technical Developer
70,62,51,81,75,78,92,9,6,4,Medium,2,Poor,0,Networking,3,Yes,Introvert,4,Yes,Higher Studies,Product-based,UX Designer,No,Management,UX Designer
66,93,74,67,91,66,99,5,1,2,Poor,3,Medium,1,Networking,3,Yes,Extrovert,6,No,Job,Product-based,Administrator,No,Management,CRM Specialist
98,59,67,64,92,52,70,5,3,6,Poor,7,Excellent,7,Java,0,No,Introvert,9,Yes,Higher Studies,Service-based,Analyst,Yes,Management,System Developer
46,63,84,94,43,76,41,9,10,2,Medium,4,Poor,1,AI/ML,3,Yes,Introvert,8,Yes,Job,Service-based,Analyst,No,Management,IT Admin
97,96,100,88,94,78,43,3,4,5,Excellent,6,Average,6,None,5,Yes,Extrovert,12,Yes,Job,Product-based,Analyst,No,Management,Technical Developer
68,49,80,48,67,57,84,8,2,4,Excellent,6,Average,9,AI/ML,5,No,Introvert,5,Yes,Higher Studies,Service-based,Developer,Yes,Technical,System Developer
51,92,92,75,55,99,64,10,4,10,Excellent,8,Average,8,None,3,No,Extrovert,11,No,Job,Product-based,Analyst,No,Management,System Developer
60,49,90,68,87,57,44,4,9,9,Poor,9,Excellent,2,AI/ML,5,No,Introvert,12,No,Higher Studies,Service-based,UX Designer,Yes,Technical,UX Designer
84,85,96,43,100,96,54,3,8,8,Poor,3,Medium,0,Data Science,1,No,Introvert,9,Yes,Higher Studies,Product-based,Developer,No,Technical,IT Admin
66,81,56,58,79,65,97,6,10,1,Medium,10,Poor,3,AI/ML,5,No,Introvert,12,No,Job,Service-based,Analyst,Yes,Technical,Network Administrator
84,40,94,47,64,77,81,9,7,4,Medium,1,Average,0,None,1,Yes,Introvert,12,No,Higher Studies,Product-based,Analyst,No,Technical,Software Engineer
53,69,86,94,59,43,80,5,2,6,Medium,7,Poor,6,AI/ML,4,Yes,Introvert,6,No,Job,Product-based,UX Designer,Yes,Technical,Business Analyst
69,70,96,76,76,70,70,8,2,7,Poor,3,Poor,10,Networking,5,Yes,Introvert,5,Yes,Higher Studies,Product-based,Analyst,Yes,Technical,CRM Specialist
55,51,97,79,73,100,85,4,9,1,Poor,10,Poor,1,Data Science,0,No,Extrovert,11,No,Higher Studies,Product-based,UX Designer,No,Technical,Network Administrator
45,63,49,74,54,57,96,6,4,9,Excellent,9,Average,10,Python,0,Yes,Extrovert,9,No,Higher Studies,Service-based,Developer,No,Management,System Developer
93,88,94,98,61,96,64,7,9,7,Excellent,8,Excellent,1,Java,2,No,Introvert,12,Yes,Job,Product-based,Administrator,No,Technical,CRM Specialist
52,82,73,55,50,53,55,8,8,4,Medium,4,Excellent,5,AI/ML,3,Yes,Extrovert,8,Yes,Job,Product-based,Research,Yes,Management,Technical Developer
49,78,60,76,60,94,86,4,6,9,Poor,2,Medium,7,Java,3,No,Introvert,5,No,Higher Studies,Service-based,Research,Yes,Management,Business Analyst
94,89,51,47,96,81,67,9,9,7,Excellent,1,Poor,3,Data Science,5,No,Extrovert,10,Yes,Higher Studies,Product-based,Research,No,Technical,CRM Specialist
91,45,93,74,100,64,59,3,9,2,Medium,1,Excellent,1,Java,5,No,Introvert,8,No,Higher Studies,Service-based,Administrator,No,Management,Business Analyst
84,65,75,48,84,84,42,10,1,10,Poor,10,Average,9,Data Science,5,No,Extrovert,7,No,Higher Studies,Service-based,Administrator,Yes,Management,Software Engineer
72,51,56,51,90,88,91,2,3,9,Medium,6,Excellent,0,None,5,Yes,Introvert,8,Yes,Job,Product-based,Analyst,Yes,Management,Network Administrator
53,70,54,48,83,87,74,10,6,7,Medium,8,Medium,4,Networking,0,Yes,Introvert,6,No,Job,Product-based,Analyst,No,Technical,UX Designer
73,79,78,97,84,89,74,7,10,7,Poor,8,Excellent,2,Networking,0,No,Extrovert,6,No,Job,Service-based,UX Designer,Yes,Management,CRM Specialist
69,48,74,80,47,75,60,1,7,8,Poor,9,Excellent,3,None,0,Yes,Introvert,7,No,Higher Studies,Product-based,Research,Yes,Management,UX Designer
48,51,62,69,57,54,74,6,10,4,Medium,9,Excellent,7,Python,0,Yes,Extrovert,5,Yes,Higher Studies,Service-based,Analyst,No,Management,Business Analyst
51,98,47,60,67,79,71,5,9,6,Medium,3,Poor,3,None,1,No,Introvert,9,No,Higher Studies,Product-based,UX Designer,Yes,Management,Software Engineer
70,93,52,41,93,76,77,8,4,8,Medium,10,Poor,0,Data Science,5,Yes,Extrovert,11,No,Job,Service-based,UX Designer,Yes,Technical,System Developer
59,60,78,97,95,99,51,4,7,10,Excellent,6,Poor,9,None,1,Yes,Extrovert,10,Yes,Higher Studies,Product-based,Developer,Yes,Technical,Business Analyst
90,65,41,73,85,66,68,8,9,5,Medium,2,Excellent,6,Networking,1,No,Extrovert,6,No,Job,Product-based,Developer,Yes,Technical,System Developer
53,47,74,90,98,45,54,3,7,4,Poor,6,Poor,6,Java,5,Yes,Extrovert,4,Yes,Job,Service-based,Research,No,Technical,System Developer
58,69,50,48,85,62,83,1,6,8,Medium,1,Excellent,7,Java,1,No,Extrovert,4,Yes,Job,Product-based,UX Designer,Yes,Technical,Business Analyst
62,80,71,46,48,41,60,2,4,5,Poor,7,Average,7,AI/ML,4,Yes,Introvert,6,Yes,Higher Studies,Product-based,Analyst,No,Management,CRM Specialist
95,49,90,82,93,79,76,2,5,4,Poor,5,Medium,0,Java,5,Yes,Introvert,8,No,Higher Studies,Product-based,Developer,Yes,Management,CRM Specialist
80,68,81,41,87,52,61,9,9,2,Poor,10,Poor,2,Python,3,Yes,Introvert,4,No,Job,Product-based,UX Designer,Yes,Technical,UX Designer
94,47,88,88,87,54,80,5,4,3,Excellent,3,Medium,8,Data Science,5,No,Introvert,8,No,Job,Product-based,UX Designer,Yes,Management,Software Engineer
83,82,46,80,73,73,67,1,1,7,Poor,4,Poor,2,Networking,4,No,Extrovert,7,Yes,Job,Service-based,Research,No,Technical,Network Administrator
69,57,82,40,78,65,91,5,6,8,Excellent,3,Excellent,4,Python,5,No,Extrovert,4,No,Job,Service-based,UX Designer,Yes,Technical,Technical Developer
92,43,69,69,62,78,77,4,9,9,Excellent,7,Excellent,3,AI/ML,4,No,Introvert,8,No,Higher Studies,Service-based,Developer,Yes,Management,System Developer
72,49,45,78,65,73,42,3,10,10,Medium,7,Poor,7,Data Science,1,Yes,Extrovert,8,Yes,Higher Studies,Product-based,Administrator,No,Technical,UX Designer
88,62,52,75,70,78,98,3,5,1,Poor,8,Average,4,None,4,Yes,Introvert,6,No,Job,Product-based,Analyst,Yes,Technical,UX Designer
61,74,61,48,59,56,59,2,7,5,Medium,8,Medium,10,None,0,Yes,Extrovert,7,Yes,Higher Studies,Product-based,UX Designer,Yes,Management,System Developer
73,49,73,56,69,72,70,2,2,3,Excellent,6,Excellent,5,Python,5,Yes,Introvert,7,Yes,Higher Studies,Product-based,Developer,Yes,Management,Software Engineer
41,99,40,44,61,70,93,9,7,10,Medium,8,Average,8,AI/ML,5,No,Extrovert,4,Yes,Higher Studies,Service-based,Analyst,Yes,Management,Network Administrator
47,79,91,67,66,98,98,8,5,4,Excellent,4,Average,2,None,3,Yes,Extrovert,8,No,Job,Product-based,Research,Yes,Management,System Developer
57,48,91,72,89,56,87,4,9,6,Excellent,5,Average,3,Java,4,Yes,Extrovert,9,Yes,Job,Service-based,Research,No,Technical,Software Engineer
67,59,51,60,46,51,72,6,2,4,Poor,5,Excellent,9,Python,5,No,Extrovert,5,Yes,Job,Product-based,Developer,No,Management,Software Engineer
42,68,100,90,86,91,98,1,1,1,Excellent,7,Medium,8,Python,1,No,Introvert,5,No,Higher Studies,Product-based,Administrator,No,Technical,Network Administrator
65,65,91,51,87,49,72,9,2,5,Excellent,7,Excellent,1,Python,1,No,Extrovert,4,No,Higher Studies,Product-based,Research,No,Technical,Business Analyst
66,96,56,55,65,78,60,5,3,4,Medium,2,Medium,6,Java,2,No,Introvert,5,Yes,Job,Service-based,UX Designer,Yes,Management,CRM Specialist
90,78,95,42,88,91,48,8,10,5,Excellent,1,Medium,7,Python,4,Yes,Introvert,10,No,Job,Service-based,Analyst,Yes,Management,Network Administrator
69,97,84,41,60,55,87,1,4,6,Excellent,7,Poor,7,Python,2,Yes,Introvert,12,Yes,Higher Studies,Service-based,Research,Yes,Management,Technical Developer
57,72,61,61,54,95,70,3,10,7,Excellent,10,Poor,2,Python,1,Yes,Introvert,8,No,Higher Studies,Product-based,Analyst,Yes,Management,Network Administrator
66,89,49,43,53,91,56,7,7,3,Medium,1,Excellent,2,Python,0,No,Extrovert,4,No,Job,Product-based,Research,Yes,Management,System Developer
88,54,91,72,77,58,53,4,3,9,Excellent,5,Medium,0,AI/ML,5,Yes,Introvert,12,Yes,Higher Studies,Product-based,Research,No,Technical,Software Engineer
89,72,74,91,73,88,97,8,6,6,Poor,6,Poor,0,Java,5,Yes,Extrovert,8,Yes,Job,Product-based,Developer,Yes,Technical,Software Engineer
69,85,57,46,71,81,61,7,2,8,Medium,1,Excellent,7,Java,3,Yes,Introvert,11,Yes,Higher Studies,Product-based,Analyst,No,Management,Business Analyst
87,86,76,60,67,59,64,1,9,7,Poor,1,Poor,9,None,4,Yes,Introvert,7,No,Job,Product-based,Administrator,No,Technical,Technical Developer
99,75,76,71,78,100,74,4,7,6,Medium,1,Medium,4,Python,1,Yes,Extrovert,9,No,Job,Product-based,Administrator,No,Management,UX Designer
49,74,75,76,40,85,79,4,10,5,Poor,7,Poor,9,AI/ML,2,No,Extrovert,4,No,Job,Product-based,Administrator,No,Management,System Developer
59,88,85,90,60,53,57,5,10,9,Poor,3,Poor,6,Data Science,4,No,Introvert,4,No,Job,Product-based,Administrator,Yes,Technical,CRM Specialist
53,74,86,49,45,80,64,5,7,7,Medium,9,Excellent,3,AI/ML,3,No,Extrovert,6,Yes,Job,Product-based,Analyst,Yes,Technical,Network Administrator
66,59,64,42,57,48,89,10,5,6,Medium,3,Excellent,8,Python,2,No,Extrovert,8,Yes,Job,Product-based,Research,No,Technical,CRM Specialist
82,86,71,98,81,82,54,2,10,5,Medium,9,Excellent,4,Networking,5,No,Extrovert,6,No,Higher Studies,Service-based,Administrator,No,Technical,CRM Specialist
77,56,41,59,42,47,49,6,1,9,Medium,4,Excellent,10,AI/ML,4,Yes,Extrovert,4,Yes,Job,Service-based,Developer,No,Technical,Technical Developer
96,57,61,100,88,51,48,7,9,4,Medium,2,Medium,6,Python,0,Yes,Introvert,4,Yes,Job,Product-based,Research,Yes,Technical,Software Engineer
49,54,49,59,93,41,75,7,4,8,Excellent,8,Average,5,Networking,4,No,Introvert,4,Yes,Higher Studies,Service-based,UX Designer,Yes,Management,UX Designer
64,41,50,61,77,75,43,5,1,7,Excellent,6,Average,3,AI/ML,4,No,Extrovert,4,Yes,Job,Service-based,UX Designer,No,Management,UX Designer
86,54,76,70,72,99,58,4,7,3,Excellent,3,Medium,7,None,1,Yes,Introvert,7,Yes,Higher Studies,Product-based,Developer,No,Management,IT Admin
93,40,61,91,75,72,55,8,6,6,Medium,6,Excellent,1,Networking,0,No,Extrovert,7,No,Job,Product-based,Administrator,Yes,Management,UX Designer
83,85,66,93,87,42,87,8,8,1,Medium,10,Poor,9,Java,5,Yes,Extrovert,6,No,Higher Studies,Service-based,Research,No,Management,Software Engineer
97,57,83,98,67,96,50,10,3,7,Medium,1,Poor,1,Python,0,Yes,Extrovert,12,No,Higher Studies,Product-based,Administrator,No,Technical,System Developer
68,69,60,56,73,74,40,7,5,10,Excellent,9,Poor,0,AI/ML,4,Yes,Extrovert,12,No,Job,Product-based,UX Designer,Yes,Technical,Network Administrator
94,73,91,49,97,91,93,5,10,4,Poor,8,Average,3,Python,4,Yes,Introvert,12,Yes,Job,Service-based,Research,No,Technical,IT Admin
61,99,69,69,96,54,93,9,6,5,Poor,9,Average,2,Networking,1,Yes,Extrovert,8,Yes,Job,Service-based,Developer,Yes,Technical,System Developer
80,59,78,59,57,88,90,2,10,1,Medium,5,Medium,1,Java,0,Yes,Extrovert,10,No,Higher Studies,Service-based,Administrator,Yes,Technical,CRM Specialist
44,95,83,92,99,92,93,7,1,5,Medium,7,Poor,6,AI/ML,1,Yes,Extrovert,7,Yes,Higher Studies,Service-based,Developer,No,Technical,UX Designer
88,96,59,99,45,71,69,6,9,9,Excellent,4,Medium,0,Data Science,0,No,Introvert,7,Yes,Higher Studies,Product-based,Developer,No,Management,System Developer
50,94,50,79,83,42,100,7,4,2,Excellent,10,Poor,0,None,1,Yes,Introvert,8,No,Higher Studies,Service-based,Developer,No,Management,Business Analyst
95,53,55,87,79,47,86,6,9,10,Poor,2,Excellent,7,AI/ML,0,Yes,Extrovert,12,Yes,Higher Studies,Service-based,Developer,No,Technical,CRM Specialist
87,66,63,52,67,63,73,10,6,2,Medium,3,Medium,4,Python,0,Yes,Introvert,4,Yes,Job,Product-based,Research,No,Technical,Business Analyst
51,68,45,96,83,95,47,8,7,5,Poor,10,Excellent,7,Java,3,No,Introvert,6,No,Job,Product-based,Developer,Yes,Management,Software Engineer
98,79,63,55,61,90,95,6,8,10,Medium,9,Average,4,Python,4,No,Introvert,10,Yes,Higher Studies,Product-based,Research,Yes,Management,Network Administrator
55,54,77,46,73,74,98,7,8,3,Excellent,4,Excellent,1,None,3,No,Extrovert,4,No,Higher Studies,Product-based,Research,No,Technical,System Developer
76,49,97,80,44,81,58,7,9,6,Medium,8,Poor,7,Python,1,No,Extrovert,8,Yes,Higher Studies,Service-based,UX Designer,No,Management,UX Designer
